Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
mini-sink-climbing-sack,Mini Sink Climbing Sack,"<p><span>﻿The MiniSink is a bespoke Climbing bag, designed for fashion, comfort, and durability. It's not that it's only stylish; the first job of the designer is to construct a piece of material that looks great. But more importantly, the Climbing Sack is robust. That means no rips, no tears, and a backpack that you can pass down to your Grandchildren. </span></p>",allenlake,"",portage,true,Color,Yellow,,,,,857977-yellow,0,shopify,92,deny,manual,180.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-97586073.jpg?v=1476651367,,false,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Rose,,,,,857977-rose,0,shopify,95,deny,manual,180.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-97586100.jpg?v=1476651367,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Navy blue,,,,,857977-navy-blue,0,shopify,88,deny,manual,180.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-97586158.jpg?v=1476651367,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Green,,,,,857977-green,0,shopify,97,deny,manual,180.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-97586135.jpg?v=1476651367,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Blue,,,,,857977-blue,0,shopify,95,deny,manual,180.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Orange,,,,,857977-orange,0,shopify,82,deny,manual,180.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Red,,,,,857977-red,0,shopify,95,deny,manual,180.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
mini-sink-climbing-sack,,,,,,,,Light blue,,,,,857977-light-blue,0,shopify,98,deny,manual,180.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,Kitchen Sink Climbing Sack,"<p><span>﻿The 85L Kitchen</span><span>Sink </span><span>is a bespoke </span><span>Climbing bag</span><span>, designed for fashion, comfort, and durability. It's not that it's only stylish; the first job of the designer is to construct a piece of material that looks great. But more importantly, the Climbing Sack </span><span>is robust. That means no rips, no tears, and a backpack that you can pass down to your Grandchildren. </span></p>",allenlake,"",portage,true,Color,Blue,Capacity,Other,,,869225-blue-other,0,shopify,76,deny,manual,210.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-61159245.jpg?v=1476651434,,false,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,,,,,,,,Black,,Other,,,869225-black-other,0,shopify,23,deny,manual,210.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-61159246.jpg?v=1476651434,,,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,,,,,,,,Green,,Other,,,869225-green-other,0,shopify,78,deny,manual,210.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-61159248.jpg?v=1476651434,,,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,,,,,,,,Navy blue,,Other,,,869225-navy-blue-other,0,shopify,44,deny,manual,210.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-61159247.jpg?v=1476651434,,,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,,,,,,,,Orange,,Other,,,869225-orange-other,0,shopify,61,deny,manual,210.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
kitchen-sink-climbing-sack,,,,,,,,Red,,Other,,,869225-red-other,0,shopify,46,deny,manual,210.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,Dover Fleece,"<h1>Classic Cool.</h1>
<p><span>The Dover Fleece was built for style. No question about it. But take a closer look, and you'll notice a number of touches designed for maximum durability. Made from ultrawarm fleece-lining polyester and cotton, the Dover is super-warm, and is an excellent choice for temperatures between 30-40 degrees, Fahrenheit. You can try to rip, tear, break, or scratch it, but this jacket holds up to nearly anything that comes at it. This product is best cleaned by dry-cleaning services.</span></p>
<p> </p>
<table>
<tbody>
<tr>
<th>size</th>
<th>Cross Shoulder(cm)</th>
<th>Chest Width(cm)</th>
<th>Body Length(cm)</th>
<th>Sleeve Length(cm)</th>
</tr>
<tr>
<td>M</td>
<td>46</td>
<td>100</td>
<td>68</td>
<td>61</td>
</tr>
<tr>
<td>L</td>
<td>48</td>
<td>104</td>
<td>70</td>
<td>62</td>
</tr>
<tr>
<td>XL</td>
<td>50</td>
<td>108</td>
<td>72</td>
<td>63</td>
</tr>
<tr>
<td>XXL</td>
<td>52</td>
<td>112</td>
<td>74</td>
<td>64</td>
</tr>
<tr>
<td>XXXL</td>
<td>54</td>
<td>116</td>
<td>76</td>
<td>65</td>
</tr>
</tbody>
</table>",allenlake,"",mjacket,true,Color,Blue,Size,M,,,2135844-blue-m,0,shopify,444,deny,manual,90.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455865.jpg?v=1476651277,,false,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Blue,,L,,,2135844-blue-l,0,shopify,444,deny,manual,90.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Blue,,XL,,,2135844-blue-xl,0,shopify,444,deny,manual,90.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455866.jpg?v=1476651277,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Blue,,XXL,,,2135844-blue-xxl,0,shopify,444,deny,manual,90.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455868.jpg?v=1476651277,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Blue,,XXXL,,,2135844-blue-xxxl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Black,,M,,,2135844-black-m,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,lb,
dover-fleece,,,,,,,,Black,,L,,,2135844-black-l,0,shopify,443,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,lb,
dover-fleece,,,,,,,,Black,,XL,,,2135844-black-xl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,lb,
dover-fleece,,,,,,,,Black,,XXL,,,2135844-black-xxl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,lb,
dover-fleece,,,,,,,,Black,,XXXL,,,2135844-black-xxxl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-101455870.jpg?v=1476651277,lb,
dover-fleece,,,,,,,,Army Green,,M,,,2135844-army-green-m,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Army Green,,L,,,2135844-army-green-l,0,shopify,443,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Army Green,,XL,,,2135844-army-green-xl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Army Green,,XXL,,,2135844-army-green-xxl,0,shopify,444,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
dover-fleece,,,,,,,,Army Green,,XXXL,,,2135844-army-green-xxxl,0,shopify,443,deny,manual,90.00,,true,false,,,,,,,,,,,,,,,,,,,,,lb,
bomber-leather,Leather Bomber,"<h1>Classic Cool.</h1>
<p><span>The Delphi Leather Bomber was built for style. No question about it. But take a closer look, and you'll notice a number of touches designed for maximum durability. Made from Genuine Cowhide Leather, the Delphi is super-warm, and is an excellent choice for temperatures between 30-40 degrees, Fahrenheit. You can try to rip, tear, break, or scratch it, but this jacket holds up to nearly anything that comes at it. This product is best cleaned by dry-cleaning services.<strong><br></strong></span></p>
<p> </p>",allenlake,"",mjacket,true,Color,As shown,Size,M,,,338753-as-shown-m,0,shopify,486,deny,manual,190.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-76330538.jpg?v=1476650471,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,lb,
bomber-leather,,,,,,,,As shown,,L,,,338753-as-shown-l,0,shopify,480,deny,manual,190.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,lb,
bomber-leather,,,,,,,,As shown,,XL,,,338753-as-shown-xl,0,shopify,491,deny,manual,190.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096365.jpg?v=1476650470,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,lb,
bomber-leather,,,,,,,,As shown,,XXL,,,338753-as-shown-xxl,0,shopify,485,deny,manual,190.00,,true,false,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096369.jpg?v=1476650471,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,lb,
bomber-leather,,,,,,,,As shown,,XXXL,,,338753-as-shown-xxxl,0,shopify,485,deny,manual,190.00,,true,false,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1544/3585/products/product-image-95096360.jpg?v=1476650470,lb,
